geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	-log10(P.Value)	trend	ENTREZID
Lcn2	48215.9637595039	-7.58104633603566	1.52741575081256	-4.96331554261024	6.92998560965229e-07	0.000763716334740931	6.15926766721432	down	16819
Saa2	588808.345418464	-7.4984242962907	1.26920606189801	-5.90796445226344	3.46360731524901e-09	1.10925487878165e-05	8.46047135178391	down	20209
Saa3	10260.4342730355	-5.84284203987892	1.42377525846987	-4.10376708340767	4.06476700367183e-05	0.0118531333540129	4.39096434353109	down	20210
Saa1	564766.300902695	-5.804375736027	1.01886988158486	-5.69687635382668	1.22022354543154e-08	2.93939218392266e-05	7.91356059911717	down	20208
Orm2	39707.4404976975	-5.60535356048767	1.40401429914377	-3.99237640521614	6.54144293635455e-05	0.0158709281424008	4.18432644278032	down	18406
Prtn3	856.596196398588	-5.47682850805663	1.35398688881036	-4.04496421148411	5.23311177984235e-05	0.0138649535711052	4.28123998858343	down	19152
H4c12	10.8033860391892	-5.13592955940342	1.39918260434388	-3.67066424600942	0.000241920954764041	0.0352170931694235	3.61632651219106	down	319160
Arpp21	20.5020883333264	-3.79189067549009	1.07112709521402	-3.54009406767218	0.000399984436526184	0.049650781256541	3.39795690682778	down	74100
Cxcl1	2097.44065054726	-3.06387280017261	0.832084970522958	-3.68216337118431	0.000231263127275934	0.03520533294617	3.63589360586811	down	14825
Gm15348	734.767373038258	-2.90027143700288	0.787370159254375	-3.6834916880129	0.000230060789098793	0.03520533294617	3.63815739493038	down	100038554
S100a9	51.5585146941527	-2.88926384516714	0.815462434311683	-3.54309864390738	0.00039545475138143	0.0495283592010047	3.40290320205146	down	20202
Trem2	45.1008108593886	-2.82903602827673	0.614511080681302	-4.60371849623966	4.15013348484572e-06	0.00215585624688049	5.38193793442053	down	83433
Hspa1a	151.179150198916	2.68489101887854	0.582719409472842	4.60751946002182	4.07501077199779e-06	0.00215585624688049	5.38987123889627	up	193740
4930527F14Rik	79.71709736618	-2.3569412690011	0.633376997101334	-3.72122966225123	0.000198255029496947	0.0320672503771173	3.70277578633034	down	67651
Atp6v0a4	71.9751726747736	-2.28559259042104	0.585040704698496	-3.90672404854109	9.35558944349083e-05	0.0199748071678158	4.02892884482982	down	140494
